participant_id,session_id,trial,value_0,value_1,prediction_error
P001,1,205,0.666074645,0.333925355,-0.333925355
P001,1,206,0.752288387,-0.752288387,0.752288387
P001,1,207,0.558060558,-0.558060558,0.558060558
P001,1,208,0.41397899,0.58602101,0.58602101
P001,1,209,0.565279462,0.434720538,-0.434720538
P001,1,210,0.677516774,0.322483226,-0.322483226
P001,1,211,0.760776356,-0.760776356,0.760776356
P001,1,212,0.564357081,0.435642919,-0.435642919
P001,1,213,0.676832535,0.323167465,-0.323167465
P001,1,214,0.760268776,0.239731224,-0.239731224
P001,1,215,0.822163225,0.177836775,-0.177836775
P001,1,216,0.8680776,-0.8680776,0.8680776
P001,1,217,0.643955002,0.356044998,-0.356044998
P001,1,218,0.735879652,0.264120348,-0.264120348
P001,1,219,0.804070951,0.195929049,-0.195929049
P001,1,220,0.854656437,-0.854656437,0.854656437
P001,1,221,0.633998951,0.366001049,-0.366001049
P001,1,222,0.728494081,0.271505919,-0.271505919
P001,1,223,0.798592206,0.201407794,-0.201407794
P001,1,224,0.850592209,-0.850592209,0.850592209
P001,1,225,0.630984036,0.369015964,-0.369015964
P001,1,226,0.726257565,0.273742435,-0.273742435
P001,1,227,0.79693312,-0.79693312,0.79693312
P001,1,228,0.591178794,0.408821206,-0.408821206
P001,1,229,0.696729347,0.303270653,-0.303270653
P001,1,230,0.775028576,-0.775028576,0.224971424
P001,1,231,0.574929624,-0.574929624,0.425070376
P001,1,232,0.426492755,0.573507245,0.573507245
P001,1,233,0.57456239,0.42543761,0.42543761
P001,1,234,0.684403011,0.315596989,-0.315596989
P001,1,235,0.765884686,0.234115314,-0.234115314
P001,1,236,0.826329204,0.173670796,-0.173670796
P001,1,237,0.871167995,0.128832005,-0.128832005
P001,1,238,0.904430187,-0.904430187,0.904430187
P001,1,239,0.670921981,0.329078019,0.329078019
P001,1,240,0.755884225,-0.755884225,0.755884225
P001,1,241,0.560728013,-0.560728013,0.560728013
P001,1,242,0.415957754,-0.415957754,0.415957754
P001,1,243,0.308564668,-0.308564668,0.691435332
P001,1,244,0.228898616,-0.228898616,0.771101384
P001,1,245,0.169800959,0.830199041,0.830199041
P001,1,246,0.384143969,0.615856031,0.615856031
P001,1,247,0.543147327,-0.543147327,0.456852673
P001,1,248,0.402916097,0.597083903,0.597083903
P001,1,249,0.557072817,-0.557072817,0.557072817
P001,1,250,0.413246266,-0.413246266,0.586753734
P001,1,251,0.306553239,-0.306553239,0.693446761
P001,1,252,0.227406503,-0.227406503,0.772593497
P001,1,253,0.168694084,-0.168694084,0.831305916
P001,1,254,0.125140194,-0.125140194,0.874859806
P001,1,255,0.092831164,-0.092831164,0.907168836
P001,1,256,0.068863765,0.931136235,0.931136235
P001,1,257,0.30926701,-0.30926701,0.69073299
P001,1,258,0.229419626,-0.229419626,0.770580374
P001,1,259,0.170187453,0.829812547,0.829812547
P001,1,260,0.384430677,-0.384430677,0.615569323
P001,1,261,0.285177336,0.714822664,0.714822664
P001,1,262,0.469732164,-0.469732164,0.530267836
P001,1,263,0.348455457,-0.348455457,0.651544543
P001,1,264,0.258490295,-0.258490295,0.741509705
P001,1,265,0.191752579,0.808247421,0.808247421
P001,1,266,0.400428061,0.599571939,0.599571939
P001,1,267,0.555227149,-0.555227149,0.444772851
P001,1,268,0.411877118,0.588122882,0.588122882
P001,1,269,0.563720257,0.436279743,0.436279743
P001,1,270,0.676360129,-0.676360129,0.323639871
P001,1,271,0.501735661,-0.501735661,0.501735661
P001,1,272,0.372196205,0.627803795,0.627803795
P001,1,273,0.534284269,-0.534284269,0.465715731
P001,1,274,0.396341327,-0.396341327,0.603658673
P001,1,275,0.294012862,-0.294012862,0.705987138
P001,1,276,0.218103835,-0.218103835,0.218103835
P001,1,277,0.161793203,-0.161793203,0.838206797
P001,1,278,0.120021001,0.879978999,0.879978999
P001,1,279,0.347216334,-0.347216334,0.652783666
P001,1,280,0.257571092,0.742428908,0.742428908
P001,1,281,0.449253374,-0.449253374,0.449253374
P001,1,282,0.333263936,0.666736064,-0.666736064
P001,1,283,0.505403637,0.494596363,-0.494596363
P001,1,284,0.63309985,0.36690015,-0.36690015
P001,1,285,0.727827112,0.272172888,-0.272172888
P001,1,286,0.798097437,0.201902563,-0.201902563
P001,1,287,0.850225181,0.149774819,-0.149774819
P001,1,288,0.888894445,-0.888894445,0.888894445
P001,1,289,0.659397298,-0.659397298,0.659397298
P001,1,290,0.489152339,0.510847661,0.510847661
P001,1,291,0.621044355,-0.621044355,0.378955645
P001,1,292,0.460701462,0.539298538,-0.539298538
P001,1,293,0.599939001,0.400060999,-0.400060999
P001,1,294,0.703227821,0.296772179,-0.296772179
P001,1,295,0.779849256,-0.779849256,0.779849256
P001,1,296,0.578505688,0.421494312,-0.421494312
P001,1,297,0.687328218,-0.687328218,0.687328218
P001,1,298,0.509871979,0.490128021,-0.490128021
P001,1,299,0.636414543,0.363585457,-0.363585457
P001,1,300,0.730286009,-0.730286009,0.730286009
P001,1,301,0.541738813,0.458261187,0.458261187
P001,1,302,0.660053913,0.339946087,0.339946087
P001,1,303,0.747822103,-0.747822103,0.252177897
P001,1,304,0.554747391,0.445252609,0.445252609
P001,1,305,0.669703901,-0.669703901,0.669703901
P001,1,306,0.496797956,0.503202044,0.503202044
P001,1,307,0.626716006,0.373283994,0.373283994
P001,1,308,0.723091467,0.276908533,-0.276908533
P001,1,309,0.794584453,0.205415547,-0.205415547
P001,1,310,0.847619189,0.152380811,-0.152380811
P001,1,311,0.886961274,0.113038726,-0.113038726
P001,1,312,0.916145915,-0.916145915,0.916145915
P001,1,313,0.679612911,-0.679612911,0.679612911
P001,1,314,0.504148631,0.495851369,-0.495851369
P001,1,315,0.632168864,0.367831136,-0.367831136
P001,1,316,0.727136491,0.272863509,-0.272863509
P001,1,317,0.797585122,-0.797585122,0.797585122
P001,1,318,0.591662461,0.408337539,0.408337539
P001,1,319,0.69708814,0.30291186,0.30291186
P001,1,320,0.775294734,0.224705266,-0.224705266
P001,1,321,0.833309741,0.166690259,-0.166690259
P001,1,322,0.876346278,0.123653722,-0.123653722
P001,1,323,0.908271527,-0.908271527,0.908271527
P001,1,324,0.673771553,-0.673771553,0.326228447
P001,1,325,0.499815411,-0.499815411,0.500184589
P001,1,326,0.37077173,0.62922827,0.62922827
P001,1,327,0.533227569,-0.533227569,0.533227569
P001,1,328,0.395557448,-0.395557448,0.604442552
P001,1,329,0.293431368,-0.293431368,0.706568632
P001,1,330,0.217672472,-0.217672472,0.782327528
P001,1,331,0.161473211,-0.161473211,0.838526789
P001,1,332,0.119783625,-0.119783625,0.880216375
P001,1,333,0.088857568,-0.088857568,0.911142432
P001,1,334,0.065916083,-0.065916083,0.934083917
P001,1,335,0.048897693,-0.048897693,0.951102307
P001,1,336,0.036273155,-0.036273155,0.963726845
P001,1,337,0.026908055,-0.026908055,0.973091945
P001,1,338,0.019960861,0.980039139,0.980039139
P001,1,339,0.272989989,-0.272989989,0.727010011
P001,1,340,0.202508703,-0.202508703,0.797491297
P001,1,341,0.150224464,-0.150224464,0.849775536
P001,1,342,0.11143911,-0.11143911,0.88856089
P001,1,343,0.082667462,-0.082667462,0.917332538
P001,1,344,0.061324156,-0.061324156,0.938675844
P001,1,345,0.045491321,-0.045491321,0.954508679
P001,1,346,0.03374625,-0.03374625,0.96625375
